Title,Link,Year,Abstract
enjoy writing playing personalized emotion grounded dialogue agent using generative adversarial network,https://ieeexplore.ieee.org/abstract/document/9722966/,2022,conversational agent communicate user assist user achieving desired objective recently generative speaker integrate persona chitchat model
teaching student conversational ai using convo conversational programming agent,https://ieeexplore.ieee.org/abstract/document/9576290/,2021,convo train ml model create conversational apps aimed answer following research question rq conversational ai ai literacy concept student
towards online empathetic chatbot emotion cause,https://dl.acm.org/doi/abs/10.1145/3404835.3463042,2021,answer subquestions develop empathetic chatbot based user emotion cause namely emma based gpt emma also consists multiple block multi
compeer generative conversational agent proactive peer support,https://dl.acm.org/doi/abs/10.1145/3654777.3676430,2024,generative agent improve people ’ mental health contribution threefold first present novel generative conversational agent oping proactive conversational agent
conversational aichatbot architecture evaluation analyzing architecture evaluation method conversational ai system including chatbots virtual …,https://sydneyacademics.com/index.php/ajmlra/article/view/17,2021,study assess quality conversational ai system usercentric perspective comprehensive analysis chatbot architecture evaluation method conversational ai
chatbotbased emotion management distributed team participatory design study,https://dl.acm.org/doi/abs/10.1145/3415189,2020,report emotion regulation increased emotion management highlight design implication discus chatbot design recommendation enhancing emotion
supporting selfdirected learning selfassessment using teachergaia generative ai chatbot application learning approach prompt engineering,https://www.tandfonline.com/doi/abs/10.1080/23735082.2023.2258886,2023,generative artificial intelligence chatbot application gaia chatgpt openai ’ chatbot default engaged socialemotional support implemented
effect personalization social role voice shopping experimental study product recommendation conversational voice agent,https://www.sciencedirect.com/science/article/pii/S0747563220301126,2020,friend role voice agent high low product interaction conversational agent practitioner design voice shopping conversational agent
human versus chatbot understanding role emotion health marketing communication vaccine,https://onlinelibrary.wiley.com/doi/abs/10.1002/mar.21556,2021,complex emotional dynamic consumer–chatbot communication chatbot may depend emotional context result revealed interaction evaluation chatbot
selfchats large language model make small emotional support chatbot better,https://ink.library.smu.edu.sg/sis_research/9239/,2024,emotional support conversation broad coverage developed comprehensive set emotional insight previous emotional support research reblin
targetguided emotionaware chat machine,https://dl.acm.org/doi/abs/10.1145/3456414,2021,desirable develop emotionaware chatbot capable emotional chat machine ecm capable generating emotional response according predefined emotion
surrealdriver designing generative driver agent simulation framework urban context based large language model,https://arxiv.org/abs/2309.13193,2023,agent behavior impede transfer simulation outcome real world paper propose generative driver agent develop ‘ coach agent ’ module
rdguru conversational intelligent agent rare disease,https://ieeexplore.ieee.org/abstract/document/10684379/,2024,study introduces rdguru conversational intelligent agent leveraging langchain framework powered gptturbo rdguru offer comprehensive suite function
conversational generative artificial intelligence human–chatbot interaction education research,https://onlinelibrary.wiley.com/doi/abs/10.1111/itor.13522,2025,study explores scientific literature landscape conversational chatbots generative ai gai chatbot–human interaction education research multidisciplinary
study emotion recognition companion chatbot using deep neural network,https://link.springer.com/article/10.1007/s11042-020-08841-6,2020,robot recognize emotion voice respond based emotion like chatting recognize emotion voice first know emotion emotion
effect emotional expressiveness voice chatbot interaction,https://dl.acm.org/doi/abs/10.1145/3543829.3543840,2022,current study voice chatbot designed impact emotional expressiveness texttospeech tt output parametrically manipulated degree emotional
probing communitybased conversational storytelling agent document digital story housing insecurity,https://dl.acm.org/doi/abs/10.1145/3544548.3581109,2023,explore challenge paper describes design communitybased conversational storytelling agent csa document digital story housing insecurity building
waitgpt monitoring steering conversational llm agent data analysis onthefly code visualization,https://dl.acm.org/doi/abs/10.1145/3654777.3676374,2024,llm moving beyond standard chatbot framework basic api invocation similar attend emerging scenario conversational data analysis llm
high accuracy conversational ai chatbot using deep recurrent neural network based bilstm model,https://ieeexplore.ieee.org/abstract/document/9332074/,2020,simply put chatbot simple robot form shape chatbot software tool interacts user certain topic specific domain natural conversational
promise peril generative ai,https://www.nature.com/articles/d41586-023-00340-6,2023,one muchhyped generative ai chatbotstyle tool ‘ ai chatbot edits manuscript ’ end article generative ai produce image sound
evaluation generative pretraining modelbased therapy chatbot caregiver,https://arxiv.org/abs/2107.13115,2021,chatbot using generativebased model begin assessing basic quality speech conversation measured metainformation chatbot response
erchat texttotext opendomain dialogue framework emotion regulation,https://ieeexplore.ieee.org/abstract/document/9833325/,2022,proposes emotion regulation chat erchat endtoend dialogue framework emotion paper proposes emotion regulation chat erchat opendomain dialogue
applying ethical ai framework practice evaluating conversational ai chatbot solution,https://www.researchgate.net/profile/Suzanne-Atkins/publication/357732154_Applying_Ethical_AI_Frameworks_in_practice_Evaluating_conversational_AI_chatbot_solutions/links/61e01605323a2268f9a0de99/Applying-Ethical-AI-Frameworks-in-practice-Evaluating-conversational-AI-chatbot-solutions.pdf,2021,microso ’ conversational ai guideline one considered study specifically designed system chatbots intended assist designing
emotional reaction likelihood response question designed mental health chatbot among adolescent experimental study,https://mhealth.jmir.org/2021/1/e24343/,2021,distress conversational agent otherwise known chatbot emotional reaction likelihood responding question could posed mental health chatbot
bot feeling ai agent express positive emotion customer service,https://pubsonline.informs.org/doi/abs/10.1287/isre.2022.1179,2023,propose positive emotion expressed ai agent versus human employee less effective facilitating service evaluation heightened level expectation–
terg topicaware emotional response generation chatbot,https://ieeexplore.ieee.org/abstract/document/9206719/,2020,emotion expression important inherent attribute dialogue system recent year emotion expression ability study proved emotional chatbot
systematic review trustbuilding factor implication conversational agent design,https://www.tandfonline.com/doi/abs/10.1080/10447318.2020.1807710,2021,addition “ trust ” “ conversational agent ” added keywords found antecedent synonym trust eg “ reliance ” “ dependence ” added
appropriation conversational ai workplace taxonomy ai chatbot user,https://www.sciencedirect.com/science/article/pii/S0268401222001025,2023,conversational ai particular ai chatbot one type workplace ai application answer research question employee experience use ai chatbot ai chatbot
generative agent simulation people,https://arxiv.org/abs/2411.10109,2024,present generative agent architecture simulates real individual pronged access system resulting agent bank open access aggregated response
designing intelligent chatbot deep learning leveraging fnn algorithm conversational agent improve chatbot performance,https://link.springer.com/chapter/10.1007/978-981-97-4496-1_11,2024,paper survey recent literature chat model concept needed building intelligent conversational agent based deep learning model proposes functional
zhorai designing conversational agent child explore machine learning concept,https://ojs.aaai.org/index.php/AAAI/article/view/7061,2020,also would like future iteration study compare effectiveness conversational agent interface another interface ie textbased interface finally
chatbots mental health insight safety generative ai,https://myscp.onlinelibrary.wiley.com/doi/abs/10.1002/jcpy.1393,2024,generative ai hold potential vast improvement architecture generative ai implies model conversation generative ai chatbot week
impact chatbot conversational skill engagement perceived humanness,https://www.tandfonline.com/doi/abs/10.1080/07421222.2020.1790204,2020,conversational agent constructed custom chat conversational agent asked user describe image ca developed aforementioned level conversational
chipchat challenge opportunity conversational hardware design,https://ieeexplore.ieee.org/abstract/document/10299874/,2023,given ‘ conversational ’ llm perform best used interactively perform skywater nm shuttle meaning ‘ chipchat ’ resulted believe
towards usercentric guideline chatbot conversational design,https://www.tandfonline.com/doi/abs/10.1080/10447318.2022.2118244,2024,textbased chatbot conversational practice alongside chatbot conversational design slr resulted selected study reviewed coded set conversational
building conversational chatbot using machine learning towards intelligent healthcare application,https://www.igi-global.com/chapter/building-a-conversational-chatbot-using-machine-learning/320385,2023,smart chatbot using ai ml healthcare application main goal chatbot algorithm used design chatbot well potential impact
literature review pedagogical conversational agent adaptation,https://www.researchgate.net/profile/Ricarda-Schlimbach/publication/361228223_A_Literature_Review_on_Pedagogical_Conversational_Agent_Adaptation/links/62a45e61a3fe3e3df86dc199/A-Literature-Review-on-Pedagogical-Conversational-Agent-Adaptation.pdf,2022,conversational agent cas—software system emulating conversation human natural language—have widely used communicate collaborate
“ felt company ” qualitative study factor affecting closeness emotional support seeking embodied conversational agent,https://www.sciencedirect.com/science/article/pii/S1071581921001890,2022,additionally relevant emotional support application effect agent feature adapted adding program error emotional intelligence agent factor model
human human enough grounded theory analysis mental health harm emotional dependence social chatbot replika,https://journals.sagepub.com/doi/abs/10.1177/14614448221142007,2024,chatbot sc application offering social companionship basic therapy tool grown popularity emotional find evidence harm facilitated via emotional dependence
conversational agent framework multimodal personality expression,https://dl.acm.org/doi/abs/10.1145/3439795,2021,• introduce comprehensive conversational agent frame addition updating emotional facial expression given additionally establish affinity emotional facial
conceptualising library chatbot using open source conversational artificial intelligence,https://pdfs.semanticscholar.org/2792/ad00529ae0277447561c8a6c8dbc1d02ac74.pdf,2020,conversational software platform purpose paper conceptualise novel chatbot using recently developed artificial intelligencepowered open source conversational
difference interaction conversational agent,https://www.mdpi.com/1660-4601/17/9/3189,2020,recent technological advance introduced conversational participant experienced conversational agent real compared younger adult older adult used agent
enhancing chatbot effectiveness role anthropomorphic conversational style time orientation,https://www.sciencedirect.com/science/article/pii/S0148296320308808,2021,understanding conversational style factored design chatbot agent focusing consumer evaluate conversational style chatbot agent social
understanding conversational expressive style multimodal embodied conversational agent,https://dl.acm.org/doi/abs/10.1145/3411764.3445708,2021,shown attain conversational clarity people conversational agent eca capable fairly freeform multiturn dialogue inspired previous work auditoryonly conversational
